property_type,borough,surface_covered_in_m2,price_per_m2,lat,lon,price_aprox_usd
apartment,Benito Juárez,55.0,49090.90909,19.372684,-99.183678,142253.5
apartment,Cuauhtémoc,52.0,19016.92308,19.456439,-99.144414,52100.61
house,Coyoacán,89.0,20707.86517,,,97101.18
apartment,Benito Juárez,200.0,8650.0,19.401507,-99.14682,91147.61
apartment,Benito Juárez,90.0,34444.44444,19.368475,-99.17952,163328.09
apartment,Álvaro Obregón,66.0,15767.68182,19.368823,-99.224603,54829.08
apartment,Iztapalapa,98.0,10714.28571,19.3549174,-99.0993735,55333.92
apartment,Álvaro Obregón,65.0,65832.30769,19.358585,-99.185753,225504.19
apartment,Benito Juárez,119.0,22689.07563,19.3703820187,-99.1493282287,142287.24
apartment,Benito Juárez,90.0,11210.57778,19.395097,-99.150424,53158.13
house,Álvaro Obregón,300.0,10700.0,19.365271,-99.232466,169123.61
apartment,Iztapalapa,64.0,7968.75,19.320269,-99.055412,26870.1
apartment,Benito Juárez,106.0,37735.84906,19.367745,-99.180127,210745.93
apartment,Cuauhtémoc,65.0,17692.30769,19.468092,-99.088883,60589.45
house,Coyoacán,240.0,28250.0,19.338417,-99.156145,357214.36
apartment,Iztapalapa,60.0,8003.333333,,,25306.04
house,Iztapalapa,100.0,11155.0,19.325155,-99.088905,58771.77
house,Azcapotzalco,320.0,18250.0,,,307689.06
apartment,Benito Juárez,270.0,32222.22222,19.3769448,-99.1651109,458372.4
apartment,Cuauhtémoc,52.0,57102.88462,19.405298,-99.164986,156444.61
apartment,Tlalpan,71.0,9859.15493,19.2818221685,-99.1876426712,36889.28
apartment,Benito Juárez,127.0,23858.26772,19.391074,-99.165737,159640.04
apartment,Cuauhtémoc,70.0,5580.942857,19.418844,-99.132357,20582.81
apartment,Azcapotzalco,70.0,8048.371429,,,29682.82
house,Álvaro Obregón,307.0,29315.96091,19.358585,-99.185753,474178.35
apartment,Benito Juárez,85.0,51529.41176,19.3943574,-99.1774462,230821.52
apartment,Iztacalco,70.0,9028.571429,19.397649,-99.093087,33297.85
apartment,Cuauhtémoc,53.0,20000.0,19.408805,-99.129702,55847.67
house,Álvaro Obregón,350.0,13142.85714,19.33923,-99.218987,242357.82
apartment,Iztapalapa,75.0,11733.33333,19.313878,-99.094271,46364.1
apartment,Benito Juárez,110.0,45454.54545,19.427922,-99.160613,263432.41
apartment,Benito Juárez,60.0,16157.28333,19.392025,-99.135302,51076.22
apartment,Benito Juárez,90.0,18992.58889,19.384808,-99.155339,90058.74
house,Gustavo A. Madero,289.0,11020.76125,19.50772,-99.121305,167806.45
apartment,Álvaro Obregón,75.0,11822.21333,19.361114,-99.222666,46726.39
house,Gustavo A. Madero,200.0,15925.0,19.50772,-99.121305,167846.24
apartment,Gustavo A. Madero,60.0,33450.0,19.493973,-99.130394,105741.77
apartment,Benito Juárez,100.0,31000.0,19.394073,-99.153915,163328.09
apartment,Cuajimalpa de Morelos,110.0,57430.09091,19.371342,-99.253616,332836.85
apartment,Álvaro Obregón,130.0,35460.76923,,,242879.42
apartment,Álvaro Obregón,65.0,30461.53846,19.386852,-99.194748,104319.23
house,Gustavo A. Madero,210.0,7380.952381,19.546144,-99.13029,81664.04
apartment,Álvaro Obregón,103.0,9385.106796,19.38499,-99.227853,50930.23
house,Azcapotzalco,330.0,12036.81818,19.47517,-99.152534,209278.61
apartment,Benito Juárez,,,19.3857399,-99.1519589,102738.64
apartment,Benito Juárez,330.0,21212.12121,19.365528,-99.17952,368805.38
apartment,Álvaro Obregón,100.0,35500.0,19.3392293,-99.2189838,187081.37
apartment,Azcapotzalco,70.0,8657.128571,19.490331,-99.207579,31927.95
apartment,Álvaro Obregón,60.0,10222.21667,19.3821,-99.204573,32314.35
